Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Cid, Timeless Artificer",FIN,Final Fantasy,410,normal,uncommon,1,105767,fc4d240f-8920-4f8d-82a2-4cd4da93d6fb,4.08,false,false,near_mint,fr,EUR
"Cid, Timeless Artificer",FIN,Final Fantasy,417,normal,uncommon,1,105594,3952bbbb-6fe4-4d13-8825-e93df1d048e9,4.23,false,false,near_mint,fr,EUR
Buster Sword,FIN,Final Fantasy,255,normal,mythic,1,106334,374d7383-a1a7-4eea-91f7-290180e14cc9,22.77,false,false,near_mint,fr,EUR
Sazh Katzroy,FIN,Final Fantasy,199,normal,rare,1,106328,1e2a3566-1390-457e-8077-d776a8671319,0.39,false,false,near_mint,fr,EUR
"Danitha Capashen, Paragon",FCA,Final Fantasy: Through the Ages,22,normal,uncommon,1,106329,210ff924-215e-4ae8-8706-5af3891c6605,0.26,false,false,near_mint,en,EUR
Louisoix's Sacrifice,FIN,Final Fantasy,59,normal,rare,1,106544,4a6976f2-0bd5-449a-8fcf-f5a732ce22c1,2.09,false,false,near_mint,fr,EUR
The Wandering Minstrel,FIN,Final Fantasy,403,normal,rare,1,106683,f39b9892-9b82-4dea-bae0-e1735618341e,3.22,false,false,near_mint,fr,EUR
Clive's Hideaway,FIN,Final Fantasy,275,normal,rare,1,106557,5e43c36f-b8a2-4b2b-b2ea-57e6fa97521c,0.47,false,false,near_mint,fr,EUR
Summoner's Grimoire,FIN,Final Fantasy,205,normal,rare,1,105730,d9fda3fc-569d-49f8-a2ed-e0b1d6668426,0.41,false,false,near_mint,fr,EUR
Tymna the Weaver,FCA,Final Fantasy: Through the Ages,18,normal,rare,1,106351,87eff269-c8d7-479e-ade4-383b8622e70d,14.38,false,false,near_mint,en,EUR
Moogles' Valor,FIN,Final Fantasy,27,normal,rare,1,106295,caa838a7-60a9-4791-af5b-194f7574c4c8,0.38,false,false,near_mint,fr,EUR
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",FIN,Final Fantasy,272,normal,rare,1,106492,001e9f20-5b15-41cb-bf82-46172decc235,0.4,false,false,near_mint,fr,EUR
Fatal Push,FCA,Final Fantasy: Through the Ages,9,normal,uncommon,1,106425,2430f223-edb2-402b-a85b-5d328323992d,1.47,false,false,near_mint,en,EUR
Summon: Brynhildr,FIN,Final Fantasy,160,normal,rare,1,106588,8ab5429a-1075-49aa-9608-0610080fbf7a,0.86,false,false,near_mint,fr,EUR
"Gogo, Master of Mimicry",FIN,Final Fantasy,54,normal,mythic,1,106652,cce4eb99-d960-4ab7-911a-bb4ea74d1775,5.61,false,false,near_mint,fr,EUR
"Jidoor, Aristocratic Capital // Overture",FIN,Final Fantasy,284,normal,rare,1,105674,98b2d5b5-f85b-4c42-a0f5-a76f6af304ba,1.32,false,false,near_mint,fr,EUR
The Earth Crystal,FIN,Final Fantasy,342,normal,rare,1,106441,9240303a-73a3-4daf-b5fc-090ce7cbd92a,7.87,false,false,near_mint,fr,EUR
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",FIN,Final Fantasy,354,normal,rare,1,106519,1a6c87dc-188c-4c75-9026-568263940b90,1.44,false,false,near_mint,fr,EUR
Bartz and Boko,FIN,Final Fantasy,175,normal,rare,1,105728,d818d574-2832-4a7a-a13b-aa6e695fdaa5,0.28,false,false,near_mint,fr,EUR
"Raubahn, Bull of Ala Mhigo",FIN,Final Fantasy,151,normal,rare,1,106571,7035d11b-525f-4120-8dcb-610095196681,0.84,false,false,near_mint,fr,EUR
Nature's Claim,FCA,Final Fantasy: Through the Ages,47,normal,uncommon,1,106366,d349901d-f9a6-4f09-a881-531c695cf1c4,0.57,false,false,near_mint,en,EUR
A Realm Reborn,FIN,Final Fantasy,196,normal,rare,1,105721,d1af74e4-38d5-44b5-85e1-4d13f6970453,0.56,false,false,near_mint,fr,EUR
"Sin, Spira's Punishment",FIN,Final Fantasy,242,normal,rare,1,103790,659be746-bd31-4a70-8cec-7798da78b0b5,0.26,false,false,near_mint,fr,EUR
Aettir and Priwen,FIN,Final Fantasy,253,normal,mythic,1,106497,038710ca-c756-4e66-a9de-278e676c9f5b,4.0,false,false,near_mint,fr,EUR
