title,description
Tymna the Weaver #18 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Tymna the Weaver #18 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Command Beacon #64 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Command Beacon #64 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Chromatic Lantern #61 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Chromatic Lantern #61 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Fatal Push #9 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Fatal Push #9 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Mizzix's Mastery #41 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Mizzix's Mastery #41 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
"Venser, Shaper Savant #6 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil","✨ Carte MTG Magic The Gathering Venser, Shaper Savant #6 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Nature's Claim #47 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Nature's Claim #47 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
"Danitha Capashen, Paragon #22 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil","✨ Carte MTG Magic The Gathering Danitha Capashen, Paragon #22 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
Wall of Omens #27 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil,"✨ Carte MTG Magic The Gathering Wall of Omens #27 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
"Traxos, Scourge of Kroog #20 (EN) - Final Fantasy: Through the Ages (FCA) - Non Foil","✨ Carte MTG Magic The Gathering Traxos, Scourge of Kroog #20 - Final Fantasy: Through the Ages (FCA)
📘 Version Anglaise
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🃏 Plein d'autres cartes sont disponibles sur mon profil mais aussi non listé ! N'hésitez pas à me demander pour la liste complète de ma collection !

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

🌟 Je recherche activement une Lightning, Army of One V.1 #320 en version Anglaise ou Française, Foil ou Non Foil, pour échange ou achat (préférence pour RMP en IDF) 🌟
"
