Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Cloud, Midgar Mercenary",FIN,Final Fantasy,375,normal,mythic,1,105625,5d8690ec-fded-4801-8eaf-5e5fe3d444ec,30.96,false,false,near_mint,en,EUR
"Yuna, Grand Summoner",FIC,Final Fantasy Commander,192,foil,mythic,1,105703,bbd454a8-b8d0-4755-bd60-321d51589904,38.68,false,false,near_mint,fr,EUR
"Kefka, Court Mage // Kefka, Ruler of Ruin",FIN,Final Fantasy,398,foil,mythic,1,105618,53756218-bcdb-498a-8c61-654183153487,21.63,false,false,near_mint,fr,EUR
Traveling Chocobo,FIN,Final Fantasy,210,normal,mythic,1,105569,2462df62-fc35-47ed-9571-40452074dc6d,22.33,false,false,near_mint,en,EUR
"Ultimecia, Time Sorceress // Ultimecia, Omnipotent",FIN,Final Fantasy,513,foil,uncommon,1,105743,e7922b5a-6e75-4910-93ad-37e322073d35,28.57,false,false,near_mint,fr,EUR
"Purphoros, God of the Forge",FCA,Final Fantasy: Through the Ages,14,normal,mythic,1,106461,fbd25e79-d29b-4b51-9653-3932c980b931,12.74,false,false,near_mint,en,EUR
Summon: Knights of Round,FIN,Final Fantasy,36,normal,mythic,1,106339,44d23652-077e-4c1f-b640-b284685db911,7.4,false,false,near_mint,en,EUR
Summon: Knights of Round,FIN,Final Fantasy,359,normal,mythic,1,106359,b8a48466-6dc1-4874-9328-c7358e642f39,13.87,false,false,near_mint,fr,EUR
Akroma's Will,FCA,Final Fantasy: Through the Ages,21,normal,mythic,1,106462,fc9c542d-ff46-4193-9972-68287879a8a0,13.58,false,false,near_mint,en,EUR
Tifa Lockhart,FIN,Final Fantasy,206,normal,rare,1,105765,fb781323-2746-405d-a9b2-e778c037a6e9,3.75,false,false,near_mint,en,EUR
"Joshua, Phoenix's Dominant // Phoenix, Warden of Fire",FIN,Final Fantasy,397,normal,rare,1,106498,04dd9ad9-eab2-447c-b065-078a0b184519,3.81,false,false,near_mint,en,EUR
The Wind Crystal,FIN,Final Fantasy,330,normal,rare,1,106428,423134fa-62d9-439c-b123-eeea52f42414,2.77,false,false,near_mint,fr,EUR
