Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Akwakwak BREAK - Break Rare - Golduck BREAK + Palkia EX Combo Deck (XYF 3) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Akwakwak BREAK - BR Break Rare de la série Golduck BREAK + Palkia EX Combo Deck (jpn_xyf-3)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Rattatac BREAK - Break Rare - Rage of the Broken Heavens (XY9 66) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Rattatac BREAK - BR Break Rare de la série Rage of the Broken Heavens (jpn_xy9-66)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Yanméga BREAK - Break Rare - Cruel Traitor (XY11C 8) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Yanméga BREAK - BR Break Rare de la série Cruel Traitor (jpn_xy11c-8)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Nostenfer V - Shiny Super Rare - Sword & Shield Promos (SWSHP 152) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Nostenfer V - SSR Shiny Super Rare de la série Sword & Shield Promos (jpn_swshp-152)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Avery - Ultra Rare - Chilling Reign (SWSH6 187) [EN],,Unit,Small,Very Good,"✨ Carte Pokémon Avery - UR Ultra Rare de la série Chilling Reign (swsh6-187)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Genesect V - Secret Rare - Fusion Arts (S8 108) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Genesect V - SR Secret Rare de la série Fusion Arts (jpn_s8-108)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Hisuian Typhlosion V - Secret Rare - Battle Region (S9A 76) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Hisuian Typhlosion V - SR Secret Rare de la série Battle Region (jpn_s9a-76)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Blanche - Secret Rare - Pokémon GO (S10B 83) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Blanche - SR Secret Rare de la série Pokémon GO (jpn_s10b-83)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Ouvrière - Secret Rare - Paradigm Trigger (S12 111) [JP],,Unit,Small,Very Good,"✨ Carte Pokémon Ouvrière - SR Secret Rare de la série Paradigm Trigger (jpn_s12-111)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Hurle-Queue - Uncommon - Evolution Prismatique (SV85 42) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Hurle-Queue - U Uncommon de la série Evolution Prismatique (sv85-42)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Hippopotas - Common - Evolution Prismatique (SV85 52) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Hippopotas - C Common de la série Evolution Prismatique (sv85-52)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Ogerpon Masque de Pierre ex - Double Rare - Evolution Prismatique (SV85 58) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Ogerpon Masque de Pierre ex - DR Double Rare de la série Evolution Prismatique (sv85-58)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Rugit-Lune - Holo Rare - Evolution Prismatique (SV85 65) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Rugit-Lune - HR Holo Rare de la série Evolution Prismatique (sv85-65)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Évoli - Common - Evolution Prismatique (SV85 74) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Évoli - C Common de la série Evolution Prismatique (sv85-74)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Masque de Monstre - Uncommon - Evolution Prismatique (SV85 118) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Masque de Monstre - U Uncommon de la série Evolution Prismatique (sv85-118)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
