Title,Description,Price,Category,Package,Condition,Picture_1,Picture_2
Carte Pokémon Octillery - Uncommon - Plasma Blast (BW10 19) [FR],"✨ Carte Pokémon Octillery - _ Uncommon de la série Plasma Blast (bw10-19)
📘 Version Française 🇫🇷
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Gallame EX - Promo - XY Promos (xyp-XY45) [FR],"✨ Carte Pokémon Gallame EX - P Promo de la série XY Promos (xyp-XY45)
📘 Version Française 🇫🇷
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Viridium GX - Holo Rare GX - Lost Thunder (SM8 34) [FR],"✨ Carte Pokémon Viridium GX - _ Holo Rare GX de la série Lost Thunder (sm8-34)
📘 Version Française 🇫🇷
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — Veuillez consulter les photos

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Pyroli V - Promo - Sword & Shield Promos (swshp-SWSH149) [FR],"✨ Carte Pokémon Pyroli V - P Promo de la série Sword & Shield Promos (swshp-SWSH149)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Aquali V - Promo - Sword & Shield Promos (swshp-SWSH150) [FR],"✨ Carte Pokémon Aquali V - P Promo de la série Sword & Shield Promos (swshp-SWSH150)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Voltali V - Promo - Sword & Shield Promos (swshp-SWSH151) [FR],"✨ Carte Pokémon Voltali V - P Promo de la série Sword & Shield Promos (swshp-SWSH151)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Mentali - Promo - Sword & Shield Promos (swshp-SWSH174) [FR],"✨ Carte Pokémon Mentali - P Promo de la série Sword & Shield Promos (swshp-SWSH174)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Zeraora V - Promo - Sword & Shield Promos (swshp-SWSH263) [FR],"✨ Carte Pokémon Zeraora V - P Promo de la série Sword & Shield Promos (swshp-SWSH263)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Zeraora VSTAR - Promo - Sword & Shield Promos (swshp-SWSH265) [FR],"✨ Carte Pokémon Zeraora VSTAR - P Promo de la série Sword & Shield Promos (swshp-SWSH265)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Démolosse V - Holo Rare V - Ténèbres Embrasées (SWSH3 21) [FR],"✨ Carte Pokémon Démolosse V - RR Holo Rare V de la série Ténèbres Embrasées (swsh3-21)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
