Title,Description,Price,Category,Package,Condition,Picture_1,Picture_2
Carte Pokémon Entei V - Double Rare - VSTAR Universe (S12A 019) [JP],"✨ Carte Pokémon Entei V - RR Double Rare de la série VSTAR Universe (jpn_s12a-019)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Raikou V - Double Rare - VSTAR Universe (S12A 038) [JP],"✨ Carte Pokémon Raikou V - RR Double Rare de la série VSTAR Universe (jpn_s12a-038)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Hisuian Clamiral VSTAR - Ultra Rare - VSTAR Universe (S12A 087) [JP],"✨ Carte Pokémon Hisuian Clamiral VSTAR - SR Ultra Rare de la série VSTAR Universe (jpn_s12a-087)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Cerbyllin V - Double Rare - VSTAR Universe (S12A 131) [JP],"✨ Carte Pokémon Cerbyllin V - RR Double Rare de la série VSTAR Universe (jpn_s12a-131)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Galarian Artikodin - Art Rare - VSTAR Universe (S12A 182) [JP],"✨ Carte Pokémon Galarian Artikodin - AR Art Rare de la série VSTAR Universe (jpn_s12a-182)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Lucario VSTAR - Special Art Rare - VSTAR Universe (S12A 226) [JP],"✨ Carte Pokémon Lucario VSTAR - SAR Special Art Rare de la série VSTAR Universe (jpn_s12a-226)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Medhyèna - Trainer Gallery Holo Rare - Crown Zenith: Galarian Gallery (swsh12pt5gg-GG33) [EN],"✨ Carte Pokémon Medhyèna - AR Trainer Gallery Holo Rare de la série Crown Zenith: Galarian Gallery (swsh12pt5gg-GG33)
📘 Version Anglaise 🇬🇧
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Gardevoir ex - Shiny Ultra Rare - Shiny Treasure ex (SV4A 328) [JP],"✨ Carte Pokémon Gardevoir ex - SR Shiny Ultra Rare de la série Shiny Treasure ex (jpn_sv4a-328)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Félinferno ex - Double Rare - Cyber Judge (SV5M 22) [JP],"✨ Carte Pokémon Félinferno ex - RR Double Rare de la série Cyber Judge (jpn_sv5m-22)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Triopikeau ex - Double Rare - Wild Force (SV5K 25) [JP],"✨ Carte Pokémon Triopikeau ex - RR Double Rare de la série Wild Force (jpn_sv5k-25)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
Carte Pokémon Iron Crown ex - Double Rare - Cyber Judge (SV5M 36) [JP],"✨ Carte Pokémon Iron Crown ex - RR Double Rare de la série Cyber Judge (jpn_sv5m-36)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,Unit,Small,Very Good,,
