Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Yveltal EX - Promo - XY Promos (xyp-XY150) [EN],,Unit,Small,Average,"✨ Carte Pokémon Yveltal EX - P Promo de la série XY Promos (xyp-XY150)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon M Oniglali EX - Holo Rare EX - BREAKthrough (XY8 35) [EN],,Unit,Small,Average,"✨ Carte Pokémon M Oniglali EX - HRE Holo Rare EX de la série BREAKthrough (xy8-35)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon M Oniglali EX - Ultra Rare - BREAKthrough (XY8 156) [EN],,Unit,Small,Average,"✨ Carte Pokémon M Oniglali EX - UR Ultra Rare de la série BREAKthrough (xy8-156)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon Gardevoir EX - Holo Rare EX - Steam Siege (XY11 78) [EN],,Unit,Small,Average,"✨ Carte Pokémon Gardevoir EX - HRE Holo Rare EX de la série Steam Siege (xy11-78)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon Florizarre EX - Holo Rare EX - Evolutions (XY12 1) [EN],,Unit,Small,Average,"✨ Carte Pokémon Florizarre EX - HRE Holo Rare EX de la série Evolutions (xy12-1)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon Flagadoss EX - Holo Rare EX - Evolutions (XY12 26) [EN],,Unit,Small,Average,"✨ Carte Pokémon Flagadoss EX - HRE Holo Rare EX de la série Evolutions (xy12-26)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon M Flagadoss EX - Holo Rare EX - Evolutions (XY12 27) [EN],,Unit,Small,Average,"✨ Carte Pokémon M Flagadoss EX - HRE Holo Rare EX de la série Evolutions (xy12-27)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon Roucarnage EX - Holo Rare EX - Evolutions (XY12 64) [EN],,Unit,Small,Average,"✨ Carte Pokémon Roucarnage EX - HRE Holo Rare EX de la série Evolutions (xy12-64)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon M Roucarnage EX - Holo Rare EX - Evolutions (XY12 65) [EN],,Unit,Small,Average,"✨ Carte Pokémon M Roucarnage EX - HRE Holo Rare EX de la série Evolutions (xy12-65)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
Carte Pokémon Roucarnage EX - Ultra Rare - Evolutions (XY12 104) [EN],,Unit,Small,Average,"✨ Carte Pokémon Roucarnage EX - UR Ultra Rare de la série Evolutions (xy12-104)
📘 Version Anglaise 🇬🇧
✅ État : État correct, usure visible (rayures, coins blanchis, etc.) — veuillez consulter plus bas pour plus de détails.

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑

⚠️ Défauts visibles : à compléter manuellement.",,
