Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Rayquaza EX - Promo - XY Promos (xyp-XY73) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Rayquaza EX - P Promo de la série XY Promos (xyp-XY73)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Regigigas - Promo - XY Promos (xyp-XY82) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Regigigas - P Promo de la série XY Promos (xyp-XY82)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Arceus - Promo - XY Promos (xyp-XY116) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Arceus - P Promo de la série XY Promos (xyp-XY116)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Nidoqueen - Rare - Primo Choc (XY5 69) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Nidoqueen - R Rare de la série Primo Choc (xy5-69)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Balbuto - Rare - Origines Antiques (XY7 32) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Balbuto - R Rare de la série Origines Antiques (xy7-32)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Gardevoir V - Promo - Epée et Bouclier Promos (swshp-SWSH105) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Gardevoir V - P Promo de la série Epée et Bouclier Promos (swshp-SWSH105)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Regieleki V - Promo - Epée et Bouclier Promos (swshp-SWSH280) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Regieleki V - P Promo de la série Epée et Bouclier Promos (swshp-SWSH280)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Zacian V - Promo - Epée et Bouclier Promos (swshp-SWSH292) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Zacian V - P Promo de la série Epée et Bouclier Promos (swshp-SWSH292)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Zamazenta V - Promo - Epée et Bouclier Promos (swshp-SWSH293) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Zamazenta V - P Promo de la série Epée et Bouclier Promos (swshp-SWSH293)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Cizayox V - Holo Rare V - Ténèbres Embrasées (SWSH3 118) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Cizayox V - HRV Holo Rare V de la série Ténèbres Embrasées (swsh3-118)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Reshiram - Rare - Célébrations (CEL25 2) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Reshiram - R Rare de la série Célébrations (cel25-2)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Kyogre - Rare - Célébrations (CEL25 3) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Kyogre - R Rare de la série Célébrations (cel25-3)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Zekrom - Rare - Célébrations (CEL25 10) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Zekrom - R Rare de la série Célébrations (cel25-10)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Mew - Holo Rare - Célébrations (CEL25 11) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Mew - HR Holo Rare de la série Célébrations (cel25-11)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
