Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Farfaduvet - Poké Ball Holo - Evolution Prismatique (SV85 8) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Farfaduvet - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-8)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Poissoroy - Poké Ball Holo - Evolution Prismatique (SV85 21) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Poissoroy - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-21)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Cocotine - Poké Ball Holo - Evolution Prismatique (SV85 39) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Cocotine - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-39)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Favianos - Poké Ball Holo - Evolution Prismatique (SV85 45) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Favianos - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-45)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Iron Boulder - Poké Ball Holo - Evolution Prismatique (SV85 46) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Iron Boulder - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-46)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Fort-Ivoire - Poké Ball Holo - Evolution Prismatique (SV85 55) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Fort-Ivoire - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-55)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Rugit-Lune - Poké Ball Holo - Evolution Prismatique (SV85 65) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Rugit-Lune - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-65)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Écrémeuh - Poké Ball Holo - Evolution Prismatique (SV85 81) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Écrémeuh - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-81)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Brutalibré - Poké Ball Holo - Evolution Prismatique (SV85 89) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Brutalibré - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-89)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Area Zero Underdepths - Poké Ball Holo - Evolution Prismatique (SV85 94) [FR],,Unit,Small,Very Good,"✨ Carte Pokémon Area Zero Underdepths - PBH Poké Ball Holo de la série Evolution Prismatique (sv85-94)
📘 Version Française 🇫🇷
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
