Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Victini EX - Double Rare - Plasma Gale (BW7 12) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Victini EX - DR Double Rare de la série Plasma Gale (jpn_bw7-12)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon White Kyurem EX - Double Rare - White Kyurem EX Battle Strength Deck (BKW 8) [JAP],,Unit,Small,Good,"✨ Carte Pokémon White Kyurem EX - DR Double Rare de la série White Kyurem EX Battle Strength Deck (jpn_bkw-8)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Airmure EX - Double Rare - Collection X (XY1X 39) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Airmure EX - DR Double Rare de la série Collection X (jpn_xy1x-39)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Coatox EX - Double Rare - Wild Blaze (XY2 36) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Coatox EX - DR Double Rare de la série Wild Blaze (jpn_xy2-36)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Scarhino EX - Double Rare - Rising Fist (XY3 4) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Scarhino EX - DR Double Rare de la série Rising Fist (jpn_xy3-4)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Crapustule EX - Double Rare - Rising Fist (XY3 20) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Crapustule EX - DR Double Rare de la série Rising Fist (jpn_xy3-20)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Sepiatroce EX - Double Rare - Phantom Gate (XY4 57) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Sepiatroce EX - DR Double Rare de la série Phantom Gate (jpn_xy4-57)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Dialga EX - Double Rare - Hyper Metal Chain Deck (XYB 4) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Dialga EX - DR Double Rare de la série Hyper Metal Chain Deck (jpn_xyb-4)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Fulguris EX - Double Rare - Emerald Break (XY6 22) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Fulguris EX - DR Double Rare de la série Emerald Break (jpn_xy6-22)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Gallame EX - Double Rare - Emerald Break (XY6 30) [JAP],,Unit,Small,Good,"✨ Carte Pokémon Gallame EX - DR Double Rare de la série Emerald Break (jpn_xy6-30)
📘 Version Japonaise 🇯🇵
✅ État : Bon état, quelques légers défauts visibles (bords, coins ou surface).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
