Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Carte Pokémon Real World's Giratina - Promo - Diamond & Pearl Promos (DPP 109) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Real World's Giratina - P Promo de la série Diamond & Pearl Promos (jpn_dpp-109)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Fulgudog V - Ultra Rare Character - VMAX Climax (S8B 225) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Fulgudog V - URC Ultra Rare Character de la série VMAX Climax (jpn_s8b-225)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Radiant Alakazam - Radiant Rare - Incandescent Arcana (S11A 31) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Radiant Alakazam - RR Radiant Rare de la série Incandescent Arcana (jpn_s11a-31)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Magearna V - Secret Rare - Incandescent Arcana (S11A 79) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Magearna V - SR Secret Rare de la série Incandescent Arcana (jpn_s11a-79)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Teal Mask Ogerpon - Promo - Scarlet & Violet Promos (SVP 148) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Teal Mask Ogerpon - P Promo de la série Scarlet & Violet Promos (jpn_svp-148)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Radiant Dracaufeu - Radiant Rare - VSTAR Universe (S12A 015) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Radiant Dracaufeu - RR Radiant Rare de la série VSTAR Universe (jpn_s12a-015)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Radiant Gardevoir - Radiant Rare - VSTAR Universe (S12A 055) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Radiant Gardevoir - RR Radiant Rare de la série VSTAR Universe (jpn_s12a-055)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Penny - Super Rare - Scarlet ex (SV1S 105) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Penny - SR Super Rare de la série Scarlet ex (jpn_sv1s-105)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Yuyu ex - Super Rare - Clay Burst (SV2D 85) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Yuyu ex - SR Super Rare de la série Clay Burst (jpn_sv2d-85)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
Carte Pokémon Ampibidou ex - Super Rare - Clay Burst (SV2D 86) [JAP],,Unit,Small,Very Good,"✨ Carte Pokémon Ampibidou ex - SR Super Rare de la série Clay Burst (jpn_sv2d-86)
📘 Version Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Carte envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",,
