Title,Price,Category,Package,Condition,Description,Picture_1,Picture_2
Lot de Cartes Pokémon Zeraora VMax & V - Cartes Pokémon s12a/s8b [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Zeraora VMax & V - Cartes Pokémon s12a/s8b [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2544.JPG,vinted_images/vintedlot\IMG_2545.JPG
Lot de Cartes Pokémon Kyurem VMax & V - Cartes Pokémon s11 [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Kyurem VMax & V - Cartes Pokémon s11 [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2546.JPG,vinted_images/vintedlot\IMG_2547.JPG
Lot de Cartes Pokémon Zeraora VMax & VStar - Cartes Pokémon s12a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Zeraora VMax & VStar - Cartes Pokémon s12a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2548.JPG,vinted_images/vintedlot\IMG_2549.JPG
Lot de Cartes Pokémon Sorcilence VMax & V - Cartes Pokémon s12a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Sorcilence VMax & V - Cartes Pokémon s12a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2550.JPG,vinted_images/vintedlot\IMG_2551.JPG
Lot de Cartes Pokémon Art Set Complet 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Art Set Complet 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2557.JPG,vinted_images/vintedlot\IMG_2558.JPG
Lot de Cartes Pokémon Zekrom & Reshiram 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Zekrom & Reshiram 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2559.JPG,vinted_images/vintedlot\IMG_2560.JPG
Lot de Cartes Pokémon Groudon & Kyogre 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Groudon & Kyogre 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2561.JPG,vinted_images/vintedlot\IMG_2563.JPG
Lot de Cartes Pokémon Dialga & Palkia 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Dialga & Palkia 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2564.JPG,vinted_images/vintedlot\IMG_2565.JPG
Lot de Cartes Pokémon Xerneas & Yveltal 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Xerneas & Yveltal 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2566.JPG,vinted_images/vintedlot\IMG_2567.JPG
Lot de Cartes Pokémon Cosmog & Cosmovum 25th Anniversary - Cartes Pokémon s8a [JP],,Lot,Small,Very Good,"✨ Lot de cartes Pokémon Cosmog & Cosmovum 25th Anniversary - Cartes Pokémon s8a [JP]
📘 Cartes officielles Japonaise 🇯🇵
✅ État : Très bon état (Near Mint), carte en excellent état (voir photos).

🛡️ Chaque carte est envoyée sous sleeve + toploader !
🚀 Expédition rapide sous 1 à 2 jours ouvrés 📦
🤝 Remise en main propre possible sur Paris / 92 / 95
📸 Besoin de photos supplémentaires ? N'hésitez pas à me demander !

🃏 Plein d'autres cartes sont disponibles sur mon profil !
📦 Possibilité de créer des lots personnalisés avec réduction sur les frais de port 🤑
",vinted_images/vintedlot\IMG_2568.JPG,vinted_images/vintedlot\IMG_2569.JPG
